股票代號,股票名稱,買進日期,賣出日期,買進價格,賣出價格,個人漲跌幅(%),同期大盤漲跌幅(%),最大虧損MAE(%),RSI_14,乖離率20MA(%),外資買賣超(股),投信買賣超(股),散戶融資增減(張),營收年增率(%)
6125,廣運,2011-05-24,2011-05-27,,,0.22,0.61,-2.51,30.97,-8.709999999999999,0.0,0.0,0.0,-41.0
1441,大東,2011-05-20,2011-06-01,,,22.71,2.55,0.0,80.19,34.9,0.0,0.0,0.0,49.0
3615,安可,2011-06-09,2011-06-14,,,-0.04,-1.91,-2.86,67.73,9.13,0.0,0.0,0.0,111.0
8930,青鋼,2011-06-24,2011-06-29,,,-0.09,0.9,-2.19,63.74,3.52,0.0,0.0,0.0,7.0
3632,研勤,2011-07-14,2011-07-19,,,-1.47,0.85,-4.88,69.02,30.11,0.0,0.0,0.0,-9.0
6298,崴強,2011-08-01,2011-08-04,,,1.72,-4.22,-5.58,84.91,34.870000000000005,0.0,0.0,0.0,20.0
3617,碩天,2011-11-10,2011-11-15,,,-3.25,2.5,-9.54,11.78,-31.069999999999997,0.0,0.0,0.0,0.0
5205,中茂,2011-11-23,2011-11-28,,,1.72,1.36,-0.05,6.52,-39.64,0.0,0.0,0.0,-29.0
2425,承啟,2011-11-24,2011-11-29,,,4.22,1.81,0.0,76.65,23.189999999999998,0.0,0.0,0.0,-97.0
2314,台揚,2012-01-18,2012-02-01,,,9.55,4.36,-1.98,71.33,22.96,0.0,0.0,0.0,44.0
3043,科風,2012-02-10,2012-02-15,,,-3.21,1.82,-2.87,94.81,41.31,0.0,0.0,0.0,-81.0
3431,長天,2012-02-14,2012-02-17,,,2.53,0.13,-2.4,86.1,33.07,0.0,0.0,0.0,14.0
5205,中茂,2012-02-14,2012-02-17,,,12.82,0.13,0.0,81.04,29.95,0.0,0.0,0.0,-94.0
6116,彩晶,2012-02-17,2012-02-22,,,-7.15,1.36,-6.83,81.39,35.199999999999996,0.0,0.0,0.0,-28.0
2425,承啟,2012-02-24,2012-03-02,,,22.7,2.32,0.0,87.8,20.51,0.0,0.0,0.0,-89.0
2425,承啟,2012-03-08,2012-03-20,,,15.08,-0.15,0.0,73.07,18.59,0.0,0.0,0.0,-89.0
8083,瑞穎,2012-03-20,2012-03-23,,,-0.39,1.3,-4.64,86.32,19.72,0.0,0.0,0.0,158.0
6116,彩晶,2012-03-20,2012-03-30,,,-10.39,-0.5,-12.15,40.1,-11.459999999999999,0.0,0.0,0.0,-16.0
4912,KY聯德,2012-05-23,2012-06-04,,,-0.26,-3.52,-3.78,60.54,6.54,6000.0,28000.0,0.0,139.0
4416,三圓,2012-09-12,2012-09-17,,,2.8,2.54,-1.83,97.58,46.339999999999996,1000.0,0.0,0.0,47.0
2342,茂矽,2012-12-10,2012-12-13,,,8.14,1.94,-2.26,71.3,28.65,-109157.0,0.0,0.0,-55.0
4743,合一,2012-12-21,2012-12-25,,,5.35,1.55,-0.61,99.12,54.32,23000.0,-200000.0,0.0,-9.0
3176,基亞,2012-12-22,2012-12-26,,,-10.76,1.25,-7.56,60.09,1.78,291980.0,0.0,0.0,2613.0
1781,合世,2012-12-24,2012-12-27,,,-4.59,1.5,-7.41,90.91,25.83,338000.0,0.0,0.0,264.0
6128,上福,2013-01-31,2013-02-05,,,-0.39,0.47,-0.73,71.18,8.55,0.0,0.0,0.0,22.72
4513,福裕,2013-02-05,2013-02-19,,,8.86,0.94,0.0,69.74,8.99,0.0,0.0,0.0,-24.38
3131,弘塑,2013-03-01,2013-03-06,,,14.29,-0.18,0.0,78.46,27.74,-1000.0,0.0,0.0,212.38
3205,佰研,2013-03-04,2013-03-07,,,6.33,1.18,-6.15,73.97,21.94,-33000.0,0.0,0.0,-31.5
4743,合一,2013-03-04,2013-03-07,,,0.44,1.18,-5.09,77.98,17.94,-82000.0,0.0,0.0,
3372,典範,2013-03-26,2013-03-29,,,-6.05,0.79,-6.22,92.11,38.1,72000.0,0.0,0.0,-17.79
3498,陽程,2013-03-29,2013-04-12,,,-10.0,-1.22,-9.69,86.36,34.77,42000.0,0.0,0.0,364.48
3570,大塚,2013-04-11,2013-04-16,,,-12.22,-0.72,-10.33,95.71,41.65,4000.0,0.0,0.0,-1.22
6116,彩晶,2013-04-17,2013-04-22,,,8.22,2.07,0.0,82.7,26.490000000000002,1301000.0,0.0,0.0,-11.78
9906,欣巴巴,2013-05-20,2013-05-23,,,0.4,-1.66,0.0,82.5,30.25,67000.0,0.0,0.0,-95.29
3054,立萬利,2013-05-27,2013-05-30,,,7.42,-0.44,0.0,61.2,7.16,-187000.0,0.0,0.0,-19.67
3498,陽程,2013-05-31,2013-06-05,,,6.21,-0.88,-1.25,72.76,11.41,123000.0,0.0,0.0,146.74
6116,彩晶,2013-05-28,2013-06-07,,,12.6,-2.03,0.0,86.49,36.11,9582000.0,427000.0,0.0,2.99
5474,聰泰,2013-06-05,2013-06-10,,,5.56,-0.25,0.0,82.59,24.64,-7000.0,0.0,0.0,74.49
4401,東隆興,2013-06-06,2013-06-11,,,1.11,0.25,-3.19,80.07,19.09,312000.0,-105000.0,0.0,54.52
3054,立萬利,2013-06-10,2013-06-21,,,-9.64,-4.49,-17.76,60.71,10.440000000000001,-39000.0,0.0,0.0,-19.67
9906,欣巴巴,2013-06-11,2013-06-24,,,-9.27,-4.4,-15.02,73.66,18.81,-2000.0,0.0,0.0,-93.89
3498,陽程,2013-06-14,2013-06-26,,,-6.35,-1.9,-7.2,61.81,4.44,174000.0,0.0,0.0,169.6
3570,大塚,2013-06-24,2013-06-27,,,-6.85,1.68,-6.87,76.36,26.85,0.0,0.0,0.0,36.75
4401,東隆興,2013-06-25,2013-07-05,,,9.35,5.07,0.0,42.17,-0.54,1220000.0,401000.0,0.0,58.41
5529,鉅陞,2013-07-12,2013-07-17,,,5.99,0.96,0.0,58.77,7.140000000000001,57000.0,0.0,0.0,158.0
4401,東隆興,2013-07-12,2013-07-24,,,-2.04,0.47,-6.64,58.61,6.52,159000.0,447000.0,0.0,38.31
8916,光隆,2013-07-22,2013-07-25,,,3.63,0.97,-1.34,97.62,32.01,-3000.0,0.0,0.0,57.49
8929,富堡,2013-07-22,2013-07-25,,,0.81,0.97,-2.82,75.44,14.549999999999999,72000.0,0.0,0.0,-11.69
6116,彩晶,2013-07-24,2013-07-29,,,2.72,-1.18,-0.05,42.59,-0.9299999999999999,2128000.0,-2891000.0,0.0,1.74
3665,貿聯-KY,2013-08-02,2013-08-07,,,8.27,-2.12,0.0,82.1,31.380000000000003,485000.0,-236000.0,0.0,23.52
4528,江興鍛,2013-08-05,2013-08-08,,,-5.33,-2.61,-7.28,83.79,17.46,-1000.0,0.0,0.0,4.92
6183,關貿,2013-08-09,2013-08-14,,,-0.23,1.32,-4.11,69.26,6.800000000000001,-17000.0,0.0,0.0,74.94
9906,欣巴巴,2013-08-22,2013-08-26,,,-2.77,1.07,-9.15,76.23,25.55,-17000.0,0.0,0.0,-99.71
3664,KY安瑞,2013-08-26,2013-08-29,,,-4.7,0.4,-6.96,85.71,25.679999999999996,-340583.0,0.0,0.0,41.52
3060,銘異,2013-08-30,2013-09-04,,,-5.45,0.78,-5.12,83.01,28.410000000000004,68140.0,0.0,0.0,19.05
3632,研勤,2013-09-04,2013-09-09,,,15.24,1.43,0.0,85.47,29.94,47000.0,0.0,0.0,17.74
3229,晟鈦,2013-09-11,2013-09-14,,,-14.6,-0.81,-14.31,93.99,50.89,89000.0,0.0,0.0,-0.59
3060,銘異,2013-09-16,2013-09-30,,,2.9,-0.98,-15.74,42.0,-6.15,-568000.0,1000.0,0.0,-3.81
3665,貿聯-KY,2013-09-26,2013-10-01,,,2.2,0.04,-2.65,48.0,3.52,-389000.0,-100000.0,0.0,-8.71
4934,太極,2013-11-05,2013-11-08,,,8.05,-0.39,0.0,86.61,13.66,63000.0,0.0,0.0,80.13
2380,虹光,2013-11-07,2013-11-12,,,6.16,-1.07,-3.12,77.08,18.15,-89000.0,0.0,0.0,-57.03
1219,福壽,2013-11-08,2013-11-13,,,5.35,-1.52,0.0,49.37,-5.6899999999999995,-18000.0,0.0,0.0,3.44
1540,喬福,2013-11-21,2013-11-26,,,1.78,1.83,0.0,53.04,-0.8099999999999999,-7000.0,0.0,0.0,104.86
2465,麗臺,2014-01-02,2014-01-07,,,12.43,-1.16,0.0,86.27,38.01,82000.0,0.0,0.0,18.31
4946,辣椒,2014-01-20,2014-01-23,,,13.45,-0.31,0.0,83.83,32.940000000000005,-80024.0,0.0,0.0,42.0
5263,智崴,2014-01-20,2014-02-07,,,13.67,-2.72,0.0,84.59,28.49,50000.0,0.0,0.0,569.7
4714,永捷,2014-02-11,2014-02-14,,,5.77,0.99,0.0,67.92,5.7700000000000005,-5000.0,0.0,0.0,7.32
4995,晶達,2014-02-24,2014-02-27,,,13.29,0.92,-0.52,98.58,54.59,0.0,0.0,0.0,83.85
3501,維熹,2014-02-25,2014-03-03,,,10.63,0.31,0.0,83.33,9.030000000000001,-36000.0,-3000.0,0.0,-13.96
5211,蒙恬,2014-02-25,2014-03-03,,,-2.96,0.31,-6.06,91.18,27.48,1000.0,0.0,0.0,1.12
8076,伍豐,2014-03-03,2014-03-06,,,10.09,1.3,0.0,84.04,12.72,-40000.0,125000.0,0.0,10.87
2465,麗臺,2014-03-12,2014-03-17,,,5.51,0.18,0.0,85.44,17.9,-20000.0,0.0,0.0,24.61
3664,KY安瑞,2014-03-19,2014-03-24,,,-4.31,-0.97,-8.62,82.7,28.249999999999996,-134541.0,-305000.0,0.0,61.29
5263,智崴,2014-03-19,2014-03-24,,,-14.45,-0.97,-10.46,76.54,13.84,38000.0,0.0,0.0,1830.02
3232,昱捷,2014-03-21,2014-03-26,,,4.59,1.87,-3.69,65.74,11.84,-113000.0,0.0,0.0,-25.78
8404,百和興業-KY,2014-03-24,2014-03-27,,,9.26,2.02,0.0,81.48,11.3,-37999.0,0.0,0.0,149.32
